Date,Close
2019-12-02,1181.47
2019-12-03,1183.79
2019-12-04,1187.63
2019-12-05,1189.46
2019-12-06,1187.98
2019-12-09,1186.11
2019-12-10,1188.68
2019-12-11,1189.07
2019-12-12,1187.93
2019-12-13,1169.59
2019-12-16,1172.53
2019-12-17,1167.46
2019-12-18,1162.78
2019-12-19,1164.36
2019-12-20,1161.06
2019-12-23,1159.3
2019-12-24,1161.57
2019-12-25,1162.23
2019-12-26,1159.75
2019-12-27,1161.2
2019-12-30,1160.68
2019-12-31,1156.35
2020-01-01,1153.75
2020-01-02,1153.97
2020-01-03,1157.15
2020-01-06,1165.85
2020-01-07,1167.42
2020-01-08,1166.46
2020-01-09,1161.26
2020-01-10,1157.81
2020-01-13,1156.93
2020-01-14,1153.94
2020-01-15,1157.05
2020-01-16,1156.78
2020-01-17,1158.77
2020-01-20,1160.36
2020-01-21,1157.57
2020-01-22,1168.74
2020-01-23,1163.73
2020-01-24,1167.6
2020-01-27,1169.15
2020-01-28,1176.73
2020-01-29,1174.28
2020-01-30,1178.08
2020-01-31,1187.12
2020-02-03,1194.87
2020-02-04,1189.36
2020-02-05,1182.48
2020-02-06,1183.46
2020-02-07,1184.25
2020-02-10,1191.09
2020-02-11,1185.63
2020-02-12,1180.72
2020-02-13,1177.96
2020-02-14,1183.47
2020-02-17,1182.18
2020-02-18,1183.81
2020-02-19,1189.93
2020-02-20,1191.37
2020-02-21,1204.4
2020-02-24,1205.77
2020-02-25,1217.65
2020-02-26,1214.55
2020-02-27,1211.36
2020-02-28,1211.31
2020-03-02,1200.1
2020-03-03,1188.28
2020-03-04,1186.34
2020-03-05,1183.68
2020-03-06,1187.47
2020-03-09,1187.7
2020-03-10,1199.96
2020-03-11,1184.7
2020-03-12,1189.39
2020-03-13,1209.97
2020-03-16,1210.8
2020-03-17,1232.04
2020-03-18,1237.99
2020-03-19,1255.35
2020-03-20,1256.88
2020-03-23,1253.95
2020-03-24,1262.93
2020-03-25,1228.6
2020-03-26,1231.08
2020-03-27,1212.19
2020-03-30,1211.63
2020-03-31,1222.7
2020-04-01,1216.66
2020-04-02,1234.73
2020-04-03,1226.85
2020-04-06,1235.8
2020-04-07,1223.1
2020-04-08,1215.31
2020-04-09,1214.75
2020-04-10,1209.51
2020-04-13,1211.04
2020-04-14,1213.9
2020-04-15,1212.38
2020-04-16,1222.55
2020-04-17,1226.64
